"ADM3_FR","population","pop_malade"
"Ngwei",15820.9267578125,8325.6142578125
"Niete",44564.6953125,13731.3828125
"Nitoukou",5227.4931640625,1638.92199707031
"Njikwa",11763.3447265625,2141.00903320312
"Njimom",39830.83984375,8700.14453125
"Njinikom",26417.216796875,3710.28393554688
"Njombe-Penja",56777.45703125,9076.369140625
"Nkambe",70648.7265625,10412.0146484375
"Nkolafamba",304359.625,73099.78125
"Nkolmetet",17521.25390625,6792.8271484375
"Nkondjock",15406.4921875,3730.984375
"Nkong-Ni",115030.4296875,15492.6435546875
"Nkongsamba 1er",14659.3974609375,1763.16613769531
"Nkongsamba 2e",37454.94921875,4353.66455078125
"Nkongsamba 3e",47364.21875,5517.7568359375
"Nkoteng",39595.765625,12314.244140625
"Nkum",35115.40625,3766.4296875
"Nlonako",22809.591796875,4132.982421875
"Noni",24080.890625,3011.77661132812
"Nord-Makombe",8357.177734375,1842.1943359375
"Nsem",13154.4384765625,5289.20654296875
"Ntui",49703.87890625,16842.18359375
"Nwa",63291.828125,14383.302734375
"Nyakokombo",15247.142578125,5793.3154296875
"Nyambaka",76063.0234375,12696.2626953125
"Nyanon",13147.1103515625,6371.52294921875
"Obala",135061.515625,45885.1484375
"Okola",115029.015625,35935.56640625
"Oku",49810.53515625,4583.41064453125
"Olamze",11461.2021484375,4522.97802734375
"Ombessa",50689.3984375,15065.005859375
"Oveng",9814.5,5134.2783203125
"Penka-Michel",123728.6328125,15074.0693359375
"Pette",77445.0390625,18467.8515625
"Pitoa",211530.78125,51552.80859375
"Poli",63767.95703125,18561.037109375
"Porhi",52747.9921875,15340.3896484375
"Pouma",21618.43359375,11305.56640625
"Poumougne",114380.7109375,13612.2041015625
"Rey-Bouba",287272.4375,53891.33984375
"Saa",78577.515625,29311.248046875
"Salapoumbe",16713.4921875,5662.66943359375
"Sangmelima",104733.546875,45615.47265625
"Santa",67989.4296875,7185.27587890625
"Santchou",52605.5390625,8651.4482421875
"Soa",325089.78125,81383.390625
"Somalomo",4367.046875,1870.21044921875
"Soulede-Roua",57976.51171875,14197.2021484375
"Taibong",47518.35546875,15685.375
"Tchatibali",8805.875,2676.56030273438
"Tcheboa",203368.375,54265.30859375
"Tchollire",201509.984375,39971.3359375
"Tibati",141863.609375,48718.96484375
"Tignere",79348.40625,21146.830078125
"Tiko",161851.3125,24427.54296875
"Toko",6838.57958984375,1986.87341308594
"Tokombere",81120.953125,17887.291015625
"Tombel",73715.7421875,13930.8603515625
"Tonga",25403.099609375,5333.50439453125
"Touboro",367560.875,43502.1015625
"Touroua",77990.375,17878.4296875
"Tubah",66438.59375,8198.7763671875
"Upper Bayang",20423.25390625,5857.212890625
"Vele",107955.390625,20778.076171875
"Wabane",17034.955078125,2687.89990234375
"Waza",28320.087890625,5111.42578125
"West-Coast",12591.2744140625,2199.00634765625
"Widikum",21751.212890625,5186.1728515625
"Wina",21933.97265625,6018.57275390625
"Wum",25829.138671875,5313.951171875
"Yabassi",33200.80859375,8235.560546875
"Yagoua",205188.515625,48467.72265625
"Yaounde 1er",487172.53125,79544.4375
"Yaounde 2e",182942.109375,25867.083984375
"Yaounde 3e",331096.78125,57184.55078125
"Yaounde 4e",614039.75,108549.4375
"Yaounde 5e",408005.8125,64561.22265625
"Yaounde 6e",308342.15625,49083.95703125
"Yaounde 7e",201160.6875,35202.08984375
"Yingui",3566.82568359375,962.728759765625
"Yokadouma",97454.1484375,38862.08203125
"Yoko",26668.30078125,10598.9267578125
"Zina",42061.51171875,8067.177734375
"Zoetele",38399.01171875,16538.15625
